Wm,W0m,dm,tm,cols,La,Wa,vswr,bandwidth,s,pr,p0
4285.7,162.86,162.86,428.57,1.0,0.0,2142.9,1.9715966,77.0698000000003,-9.7100776,0.14497833,0.45160291
4285.7,162.86,162.86,428.57,1.0,0.0,2142.9,1.9715967,77.0698000000003,-9.7100769,0.14497831,0.45160291
4285.7,162.86,488.57,428.57,1.0,0.0,2142.9,11.187646,,-1.5569196,0.026697987000000003,0.14729203
4285.7,162.86,488.57,428.57,1.0,0.0,5000.0,1.2323475,118.65019999999937,-19.652475,0.21826274,0.49681045
4285.7,162.86,488.57,428.57,1.0,0.0,5624.2,1.1661125,119.0699999999998,-22.305574,0.21863372,0.49849373
4285.7,162.86,488.57,428.57,1.0,0.0,2142.9,11.187656,,-1.5569182,0.026697991,0.14729196
4285.7,162.86,488.57,428.57,1.0,0.0,5000.0,1.2323475,118.65019999999937,-19.652475,0.21826273,0.49681045
4285.7,162.86,488.57,428.57,1.0,0.0,5624.2,1.1661125,119.0699999999998,-22.305573000000003,0.21863373,0.49849373
4285.7,162.86,488.57,428.57,1.0,0.0,2142.9,11.187657000000002,,-1.5569181,0.026697987000000003,0.14729196
4285.7,162.86,488.57,428.57,1.0,0.0,5000.0,1.2323475,118.65019999999937,-19.652475,0.21826274,0.49681045
4285.7,162.86,488.57,428.57,1.0,0.0,5624.2,1.1661125,119.0699999999998,-22.305573000000003,0.21863372,0.49849373
4285.7,162.86,488.57,428.57,1.0,0.0,2142.9,11.187636999999999,,-1.5569208,0.026697982000000002,0.14729213
4285.7,162.86,162.86,428.57,1.0,0.0,5000.0,1.2522901000000002,119.69990000000008,-19.014482,0.21289877,0.49621829
4285.7,162.86,488.57,428.57,1.0,0.0,5000.0,1.2323475,118.65019999999937,-19.652476,0.21826274,0.49681045
4285.7,162.86,488.57,428.57,1.0,0.0,5624.2,1.1661125,119.0699999999998,-22.305573000000003,0.21863373,0.49849373
4285.7,162.86,488.57,428.57,1.0,0.0,2142.9,11.187646,,-1.5569196,0.026697982000000002,0.14729206
4285.7,162.86,488.57,428.57,1.0,0.0,5000.0,1.2323475,118.65019999999937,-19.652476,0.21826274,0.49681045
4285.7,162.86,488.57,428.57,1.0,0.0,5624.2,1.1661126,119.0699999999998,-22.305571,0.21863371,0.49849373
4285.7,162.86,488.57,428.57,3.0,-10714.0,2142.9,15.686985,,-1.1089045,0.013716456,0.11050869
4285.7,162.86,488.57,428.57,3.0,-10714.0,5000.0,1.3458288,117.1799,-16.628703,0.21588677,0.49247516
4285.7,162.86,488.57,428.57,3.0,-10714.0,5624.2,1.2718718,117.3899000000005,-18.440394,0.21684936,0.49545223
4285.7,162.86,488.57,428.57,5.0,-21429.0,2142.9,15.663806,,-1.1105497,0.015012599,0.11057292
4285.7,162.86,488.57,428.57,5.0,-21429.0,5000.0,1.3442265,116.97010000000007,-16.663106,0.2158913,0.49259115
4285.7,162.86,162.86,428.57,1.0,0.0,5624.2,1.1799326,120.12029999999996,-21.666663,0.21367878,0.49830113
4285.7,162.86,488.57,428.57,5.0,-21429.0,5624.2,1.2701773,117.59990000000053,-18.488219,0.21682848,0.49554879
4285.7,325.71,162.86,428.57,1.0,0.0,2142.9,9.1764869,,-1.9006226000000002,0.012202847,0.17781603
4285.7,325.71,162.86,428.57,1.0,0.0,5000.0,1.2427431,119.69999999999992,-19.312652,0.21312864,0.49652533
4285.7,325.71,162.86,428.57,1.0,0.0,5624.2,1.1756965,120.12029999999952,-21.856703,0.21379740000000003,0.49839301
4285.7,325.71,162.86,428.57,1.0,0.0,2142.9,9.1764838,,-1.9006233000000001,0.012202843,0.17781609
4285.7,325.71,162.86,428.57,1.0,0.0,5000.0,1.2427431,119.69999999999992,-19.312652,0.21312865,0.49652533
4285.7,325.71,162.86,428.57,1.0,0.0,5624.2,1.1756965,120.12029999999952,-21.856703,0.21379740000000003,0.49839301
4285.7,325.71,162.86,428.57,1.0,0.0,2142.9,9.176480699999999,,-1.9006238999999998,0.012202843,0.17781612
4285.7,325.71,162.86,428.57,1.0,0.0,5000.0,1.2427431,119.69999999999992,-19.312652,0.21312865,0.49652533
4285.7,325.71,162.86,428.57,1.0,0.0,5624.2,1.1756966,120.12029999999952,-21.856699,0.21379739,0.49839301
4285.7,162.86,162.86,428.57,1.0,0.0,2142.9,1.971597,77.0698000000003,-9.710075,0.14497831,0.45160289
4285.7,325.71,162.86,428.57,1.0,0.0,2142.9,9.1764835,,-1.9006234,0.012202848999999998,0.17781607
4285.7,325.71,162.86,428.57,1.0,0.0,5000.0,1.2427431,119.69999999999992,-19.312653,0.21312865,0.49652533
4285.7,325.71,162.86,428.57,1.0,0.0,5624.2,1.1756965,120.12029999999952,-21.856702,0.21379740000000003,0.49839301
4285.7,325.71,162.86,428.57,1.0,0.0,2142.9,9.1764835,,-1.9006234,0.012202845,0.17781606
4285.7,325.71,162.86,428.57,1.0,0.0,5000.0,1.2427431,119.69999999999992,-19.312653,0.21312865,0.49652533
4285.7,325.71,162.86,428.57,1.0,0.0,5624.2,1.1756966,120.12029999999952,-21.856701,0.21379739,0.49839301
4285.7,325.71,162.86,428.57,1.0,0.0,2142.9,9.1764894,,-1.9006221999999997,0.012202851,0.177816
4285.7,325.71,162.86,428.57,1.0,0.0,5000.0,1.2427431,119.69999999999992,-19.312653,0.21312865,0.49652533
4285.7,325.71,162.86,428.57,1.0,0.0,5624.2,1.1756966,120.12029999999952,-21.856699,0.21379739,0.49839301
4285.7,325.71,162.86,428.57,1.0,0.0,2142.9,9.176492800000002,,-1.9006215,0.012202847,0.17781596
4285.7,162.86,162.86,428.57,1.0,0.0,5000.0,1.2522901000000002,119.69990000000008,-19.014482,0.21289877,0.49621829
4285.7,325.71,162.86,428.57,1.0,0.0,5000.0,1.2427431,119.69999999999992,-19.312653,0.21312866,0.49652533
4285.7,325.71,162.86,428.57,1.0,0.0,5624.2,1.1756966,120.12029999999952,-21.856701,0.21379739,0.49839301
4285.7,325.71,162.86,428.57,1.0,0.0,2142.9,9.176486599999999,,-1.9006227999999998,0.012202846000000002,0.17781606
4285.7,325.71,162.86,428.57,1.0,0.0,5000.0,1.2427431,119.69999999999992,-19.312652,0.21312865,0.49652533
4285.7,325.71,162.86,428.57,1.0,0.0,5624.2,1.1756966,120.12029999999952,-21.8567,0.21379739,0.49839301
4285.7,325.71,162.86,428.57,3.0,-10714.0,2142.9,14.996866,,-1.1600821000000001,0.0019081935,0.11615158
4285.7,325.71,162.86,428.57,3.0,-10714.0,5000.0,1.3556122,122.64010000000081,-16.422543,0.20976588,0.49216409
4285.7,325.71,162.86,428.57,3.0,-10714.0,5624.2,1.2873427,121.59010000000059,-18.018621,0.2112458,0.49506034
4285.7,325.71,162.86,428.57,5.0,-21429.0,2142.9,15.145279,,-1.1486809,0.0020892395000000003,0.11508519
4285.7,325.71,162.86,428.57,5.0,-21429.0,5000.0,1.3553793,122.00990000000056,-16.427373,0.20979592,0.49224937
4285.7,162.86,162.86,428.57,1.0,0.0,5624.2,1.1799327,120.12029999999996,-21.666660999999998,0.21367876,0.49830113
4285.7,325.71,162.86,428.57,5.0,-21429.0,5624.2,1.2865796,121.3801000000001,-18.038821,0.21121816,0.49514825
4285.7,325.71,271.43,428.57,1.0,0.0,2142.9,10.8608,,-1.6040364,0.027657532999999998,0.15108662
4285.7,325.71,271.43,428.57,1.0,0.0,5000.0,1.2394498999999999,119.49000000000032,-19.418534,0.21684531,0.49659986
4285.7,325.71,271.43,428.57,1.0,0.0,5624.2,1.1713761999999999,119.69999999999992,-22.055692999999998,0.21737785,0.49844007
4285.7,325.71,271.43,428.57,1.0,0.0,2142.9,10.86079,,-1.6040383,0.027657532999999998,0.15108674
4285.7,325.71,271.43,428.57,1.0,0.0,5000.0,1.2394498999999999,119.49000000000032,-19.418535000000002,0.21684531,0.49659986
4285.7,325.71,271.43,428.57,1.0,0.0,5624.2,1.1713761999999999,119.69999999999992,-22.055691,0.21737785,0.49844007
4285.7,325.71,271.43,428.57,1.0,0.0,2142.9,10.860795,,-1.6040371,0.027657538,0.15108668
4285.7,325.71,271.43,428.57,1.0,0.0,5000.0,1.2394498999999999,119.49000000000032,-19.418533,0.21684531,0.49659986
4285.7,325.71,271.43,428.57,1.0,0.0,5624.2,1.1713761999999999,119.69999999999992,-22.055691,0.21737785,0.49844006
4285.7,162.86,162.86,428.57,1.0,0.0,2142.9,1.9715965,77.0698000000003,-9.7100778,0.14497829999999998,0.45160292
4285.7,325.71,271.43,428.57,1.0,0.0,2142.9,10.860795,,-1.6040376,0.027657531000000003,0.15108668
4285.7,325.71,271.43,428.57,1.0,0.0,5000.0,1.2394498999999999,119.49000000000032,-19.418534,0.2168453,0.49659986
4285.7,325.71,271.43,428.57,1.0,0.0,5624.2,1.1713761999999999,119.69999999999992,-22.055692999999998,0.21737785,0.49844007
4285.7,325.71,271.43,428.57,1.0,0.0,2142.9,10.860795,,-1.6040376,0.027657532999999998,0.15108669
4285.7,325.71,271.43,428.57,1.0,0.0,5000.0,1.2394498999999999,119.49000000000032,-19.418535000000002,0.21684532,0.49659986
4285.7,325.71,271.43,428.57,1.0,0.0,5624.2,1.1713761999999999,119.69999999999992,-22.055692,0.21737785,0.49844007
4285.7,325.71,271.43,428.57,1.0,0.0,2142.9,10.8608,,-1.6040364,0.027657538,0.15108663
4285.7,325.71,271.43,428.57,1.0,0.0,5000.0,1.2394498,119.49000000000032,-19.418536,0.21684531,0.49659986
4285.7,325.71,271.43,428.57,1.0,0.0,5624.2,1.1713763000000001,119.69999999999992,-22.055688,0.21737783,0.49844006
4285.7,325.71,271.43,428.57,1.0,0.0,2142.9,10.860795,,-1.6040371,0.027657537000000003,0.15108669
4285.7,162.86,162.86,428.57,1.0,0.0,5000.0,1.2522902,119.69990000000008,-19.014478,0.21289875,0.49621829
4285.7,325.71,271.43,428.57,1.0,0.0,5000.0,1.2394498999999999,119.49000000000032,-19.418535000000002,0.21684532,0.49659986
4285.7,325.71,271.43,428.57,1.0,0.0,5624.2,1.1713761999999999,119.69999999999992,-22.05569,0.21737785,0.49844006
4285.7,325.71,271.43,428.57,1.0,0.0,2142.9,10.860795,,-1.6040371,0.027657532999999998,0.15108667
4285.7,325.71,271.43,428.57,1.0,0.0,5000.0,1.2394498999999999,119.49000000000032,-19.418534,0.21684531,0.49659986
4285.7,325.71,271.43,428.57,1.0,0.0,5624.2,1.1713763000000001,119.69999999999992,-22.055688,0.21737784,0.49844006
4285.7,325.71,271.43,428.57,3.0,-10714.0,2142.9,15.388124,,-1.1305016,0.016284078,0.11229137
4285.7,325.71,271.43,428.57,3.0,-10714.0,5000.0,1.3802956,120.32980000000038,-15.930192000000002,0.21353144,0.49103126
4285.7,325.71,271.43,428.57,3.0,-10714.0,5624.2,1.303505,120.5399000000007,-17.604467,0.21475104,0.49442944
4285.7,325.71,271.43,428.57,5.0,-21429.0,2142.9,15.244317,,-1.1411966999999998,0.017012855,0.11316561
4285.7,325.71,271.43,428.57,5.0,-21429.0,5000.0,1.3787336000000001,120.54009999999992,-15.960239999999999,0.21357388,0.491159
4285.7,162.86,162.86,428.57,1.0,0.0,5624.2,1.1799326,120.12029999999996,-21.666663,0.21367877,0.49830113
4285.7,325.71,271.43,428.57,5.0,-21429.0,5624.2,1.3019581,120.7499000000003,-17.643014,0.21474471,0.49453450000000004
4285.7,325.71,380.0,428.57,1.0,0.0,2142.9,9.6445886,,-1.8076911,0.03909637,0.16618681
4285.7,325.71,380.0,428.57,1.0,0.0,5000.0,1.2344855,119.06979999999967,-19.581232,0.21936367,0.49670523
4285.7,325.71,380.0,428.57,1.0,0.0,5624.2,1.1673855,119.69989999999964,-22.244369,0.21986295,0.49846648
4285.7,325.71,380.0,428.57,1.0,0.0,2142.9,9.6445911,,-1.8076907,0.039096369,0.16618675
4285.7,325.71,380.0,428.57,1.0,0.0,5000.0,1.2344855,119.06979999999967,-19.581232,0.21936367,0.49670523
4285.7,325.71,380.0,428.57,1.0,0.0,5624.2,1.1673854,119.69989999999964,-22.244370999999997,0.21986296,0.49846648
4285.7,325.71,380.0,428.57,1.0,0.0,2142.9,9.644594900000001,,-1.8076900000000002,0.039096373999999996,0.16618670000000002
4285.7,325.71,380.0,428.57,1.0,0.0,5000.0,1.2344855,119.06979999999967,-19.581229,0.21936366,0.49670522
4285.7,325.71,380.0,428.57,1.0,0.0,5624.2,1.1673854,119.69989999999964,-22.244370999999997,0.21986297,0.49846648
4285.7,162.86,162.86,428.57,1.0,0.0,2142.9,1.9715965,77.0698000000003,-9.7100778,0.14497831,0.45160291
4285.7,325.71,380.0,428.57,1.0,0.0,2142.9,9.6445886,,-1.8076911,0.039096368,0.16618681
4285.7,325.71,380.0,428.57,1.0,0.0,5000.0,1.2344855,119.06979999999967,-19.581232,0.21936367,0.49670523
4285.7,325.71,380.0,428.57,1.0,0.0,5624.2,1.1673854,119.69989999999964,-22.244370999999997,0.21986297,0.49846648
4285.7,325.71,380.0,428.57,1.0,0.0,2142.9,9.644594900000001,,-1.8076900000000002,0.03909637,0.16618673
4285.7,325.71,380.0,428.57,1.0,0.0,5000.0,1.2344855,119.06979999999967,-19.581231,0.21936367,0.49670522
4285.7,325.71,380.0,428.57,1.0,0.0,5624.2,1.1673854,119.69989999999964,-22.24437,0.21986297,0.49846648
4285.7,325.71,380.0,428.57,1.0,0.0,2142.9,9.644590199999998,,-1.8076908999999999,0.039096368,0.16618679
4285.7,325.71,380.0,428.57,1.0,0.0,5000.0,1.2344855,119.06979999999967,-19.581231,0.21936368,0.49670522
4285.7,325.71,380.0,428.57,1.0,0.0,5624.2,1.1673854,119.69989999999964,-22.244370999999997,0.21986297,0.49846648
4285.7,325.71,380.0,428.57,1.0,0.0,2142.9,9.644594900000001,,-1.8076900000000002,0.039096371,0.16618669
4285.7,162.86,162.86,428.57,1.0,0.0,5000.0,1.2522901000000002,119.69990000000008,-19.014481,0.21289877,0.49621829
4285.7,162.86,162.86,428.57,1.0,0.0,5000.0,1.2522902,119.69990000000008,-19.014479,0.21289875,0.49621829
4285.7,325.71,380.0,428.57,1.0,0.0,5000.0,1.2344855,119.06979999999967,-19.581231,0.21936368,0.49670522
4285.7,325.71,380.0,428.57,1.0,0.0,5624.2,1.1673854,119.69989999999964,-22.244370999999997,0.21986296,0.49846648
4285.7,325.71,380.0,428.57,1.0,0.0,2142.9,9.644599000000001,,-1.8076894000000001,0.039096373,0.16618668
4285.7,325.71,380.0,428.57,1.0,0.0,5000.0,1.2344855,119.06979999999967,-19.581231,0.21936366,0.49670523
4285.7,325.71,380.0,428.57,1.0,0.0,5624.2,1.1673854,119.69989999999964,-22.24437,0.21986297,0.49846648
4285.7,325.71,380.0,428.57,3.0,-10714.0,2142.9,14.792831,,-1.1761312,0.019835377,0.11615133
4285.7,325.71,380.0,428.57,3.0,-10714.0,5000.0,1.3819379999999999,118.6497000000002,-15.898751,0.21201896,0.49081245
4285.7,325.71,380.0,428.57,3.0,-10714.0,5624.2,1.3050524,119.06980000000055,-17.566128,0.21323529,0.49423001
4285.7,325.71,380.0,428.57,5.0,-21429.0,2142.9,14.615224,,-1.1904687,0.020426832,0.11733686
4285.7,325.71,380.0,428.57,5.0,-21429.0,5000.0,1.3802016000000001,118.6497000000002,-15.931995,0.21205162,0.49094407
4285.7,162.86,162.86,428.57,1.0,0.0,5624.2,1.1799326,120.12029999999996,-21.666663,0.21367877,0.49830113
4285.7,325.71,380.0,428.57,5.0,-21429.0,5624.2,1.3033008999999998,118.86000000000064,-17.609539,0.21322879,0.49433953
4285.7,325.71,488.57,428.57,1.0,0.0,2142.9,9.2587484,,-1.8836028999999999,0.043313845,0.17146929
4285.7,325.71,488.57,428.57,1.0,0.0,5000.0,1.2309707,118.6499999999997,-19.698739,0.22079885,0.49683005
4285.7,325.71,488.57,428.57,1.0,0.0,5624.2,1.1650337,119.28009999999966,-22.357843,0.22123851,0.49848814
4285.7,325.71,488.57,428.57,1.0,0.0,2142.9,9.258752000000001,,-1.8836022000000001,0.043313849,0.17146925
4285.7,325.71,488.57,428.57,1.0,0.0,5000.0,1.2309707,118.6499999999997,-19.698739,0.22079886,0.49683005
4285.7,325.71,488.57,428.57,1.0,0.0,5624.2,1.1650336000000001,119.28009999999966,-22.357845,0.22123852,0.49848814
4285.7,325.71,488.57,428.57,1.0,0.0,2142.9,9.2587404,,-1.8836045,0.043313843,0.17146941
4285.7,325.71,488.57,428.57,1.0,0.0,5000.0,1.2309708000000001,118.6499999999997,-19.698738,0.22079883,0.49683005
4285.7,325.71,488.57,428.57,1.0,0.0,5624.2,1.1650336000000001,119.28009999999966,-22.357846,0.22123851,0.49848814
4285.7,162.86,162.86,428.57,1.0,0.0,2142.9,1.9715968000000001,77.0698000000003,-9.7100758,0.14497831,0.45160290000000003
4285.7,325.71,488.57,428.57,1.0,0.0,2142.9,9.2587466,,-1.8836032,0.043313845,0.1714693
4285.7,325.71,488.57,428.57,1.0,0.0,5000.0,1.2309707,118.6499999999997,-19.698738,0.22079885,0.49683005
4285.7,325.71,488.57,428.57,1.0,0.0,5624.2,1.1650337,119.28009999999966,-22.357842,0.22123851,0.49848814
4285.7,325.71,488.57,428.57,1.0,0.0,2142.9,9.2587404,,-1.8836045,0.043313841,0.1714694
4285.7,325.71,488.57,428.57,1.0,0.0,5000.0,1.2309708000000001,118.6499999999997,-19.698738,0.22079885,0.49683005
4285.7,325.71,488.57,428.57,1.0,0.0,5624.2,1.1650336000000001,119.28009999999966,-22.357844,0.22123853,0.49848814
4285.7,325.71,488.57,428.57,1.0,0.0,2142.9,9.2587404,,-1.8836043999999998,0.04331383900000001,0.17146939
4285.7,325.71,488.57,428.57,1.0,0.0,5000.0,1.2309707,118.6499999999997,-19.698739,0.22079886,0.49683005
4285.7,325.71,488.57,428.57,1.0,0.0,5624.2,1.1650336000000001,119.28009999999966,-22.357848,0.22123852,0.49848815
4285.7,325.71,488.57,428.57,1.0,0.0,2142.9,9.2587429,,-1.883604,0.043313847,0.17146936
4285.7,162.86,162.86,428.57,1.0,0.0,5000.0,1.2522901000000002,119.69990000000008,-19.014482,0.21289877,0.49621829
4285.7,325.71,488.57,428.57,1.0,0.0,5000.0,1.2309707,118.6499999999997,-19.698739,0.22079884,0.49683005
4285.7,325.71,488.57,428.57,1.0,0.0,5624.2,1.1650336000000001,119.28009999999966,-22.357847,0.22123852,0.49848814
4285.7,325.71,488.57,428.57,1.0,0.0,2142.9,9.258744,,-1.8836037,0.04331384,0.17146933
4285.7,325.71,488.57,428.57,1.0,0.0,5000.0,1.2309708000000001,118.6499999999997,-19.698738,0.22079884,0.49683005
4285.7,325.71,488.57,428.57,1.0,0.0,5624.2,1.1650336000000001,119.28009999999966,-22.357844,0.22123852,0.49848814
4285.7,325.71,488.57,428.57,3.0,-10714.0,2142.9,14.659912,,-1.1868284,0.021601975,0.11695165
4285.7,325.71,488.57,428.57,3.0,-10714.0,5000.0,1.3449988000000002,117.17989999999956,-16.646501,0.21842127,0.49249319
4285.7,325.71,488.57,428.57,3.0,-10714.0,5624.2,1.2705621999999999,117.59990000000053,-18.477325,0.21943981,0.49547804
4285.7,325.71,488.57,428.57,5.0,-21429.0,2142.9,14.481109,,-1.2015291000000001,0.02218512,0.11816346
4285.7,325.71,488.57,428.57,5.0,-21429.0,5000.0,1.343251,117.17989999999956,-16.68414,0.21842503,0.49261493
4285.7,162.86,162.86,428.57,1.0,0.0,5624.2,1.1799326,120.12029999999996,-21.666664,0.21367876,0.49830113
4285.7,325.71,488.57,428.57,5.0,-21429.0,5624.2,1.2687856000000002,117.59990000000009,-18.527749,0.21941372,0.49557688
4285.7,488.57,162.86,428.57,1.0,0.0,2142.9,11.926994,,-1.4599369,0.0025993168,0.14213619
4285.7,488.57,162.86,428.57,1.0,0.0,5000.0,1.2445794,119.69999999999992,-19.254303,0.21327775,0.49647217
4285.7,488.57,162.86,428.57,1.0,0.0,5624.2,1.1764431,120.11979999999988,-21.822854,0.21387015,0.49837967
4285.7,488.57,162.86,428.57,1.0,0.0,2142.9,11.927003,,-1.4599358,0.0025993163,0.14213611
4285.7,488.57,162.86,428.57,1.0,0.0,5000.0,1.2445793,119.69999999999992,-19.254305,0.21327775,0.49647218
4285.7,488.57,162.86,428.57,1.0,0.0,5624.2,1.1764431,120.11979999999988,-21.822855,0.21387016,0.49837967
4285.7,488.57,162.86,428.57,1.0,0.0,2142.9,11.927013,,-1.4599345,0.0025993162,0.14213601
4285.7,488.57,162.86,428.57,1.0,0.0,5000.0,1.2445794,119.69999999999992,-19.254303,0.21327774,0.49647217
4285.7,488.57,162.86,428.57,1.0,0.0,5624.2,1.1764431,120.11979999999988,-21.822855,0.21387017,0.49837967
4285.7,162.86,162.86,428.57,3.0,-10714.0,2142.9,1.7096764,45.990300000000595,-11.637141999999999,0.11424902,0.46668023
4285.7,488.57,162.86,428.57,1.0,0.0,2142.9,11.927013,,-1.4599345,0.0025993162,0.14213598
4285.7,488.57,162.86,428.57,1.0,0.0,5000.0,1.2445794,119.69999999999992,-19.254303,0.21327775,0.49647217
4285.7,488.57,162.86,428.57,1.0,0.0,5624.2,1.1764430000000001,120.11979999999988,-21.822855,0.21387016,0.49837967
4285.7,488.57,162.86,428.57,1.0,0.0,2142.9,11.926999,,-1.4599363,0.002599316,0.14213612
4285.7,488.57,162.86,428.57,1.0,0.0,5000.0,1.2445793,119.69999999999992,-19.254304,0.21327776,0.49647217
4285.7,488.57,162.86,428.57,1.0,0.0,5624.2,1.1764431,120.11979999999988,-21.822853,0.21387016,0.49837967
4285.7,488.57,162.86,428.57,1.0,0.0,2142.9,11.927004,,-1.4599357,0.0025993158,0.14213608
4285.7,488.57,162.86,428.57,1.0,0.0,5000.0,1.2445792,119.69999999999992,-19.254307,0.21327777,0.49647218
4285.7,488.57,162.86,428.57,1.0,0.0,5624.2,1.1764431,120.11979999999988,-21.822854,0.21387017,0.49837967
4285.7,488.57,162.86,428.57,1.0,0.0,2142.9,11.927003,,-1.4599358,0.0025993146,0.14213607
4285.7,162.86,162.86,428.57,3.0,-10714.0,5000.0,1.3826882999999999,120.33010000000033,-15.884441,0.20960682,0.49093106
4285.7,488.57,162.86,428.57,1.0,0.0,5000.0,1.2445794,119.69999999999992,-19.254303,0.21327775,0.49647217
4285.7,488.57,162.86,428.57,1.0,0.0,5624.2,1.1764430000000001,120.11979999999988,-21.822855,0.21387016,0.49837968
4285.7,488.57,162.86,428.57,1.0,0.0,2142.9,11.926998,,-1.4599364,0.0025993167,0.14213612
4285.7,488.57,162.86,428.57,1.0,0.0,5000.0,1.2445793,119.69999999999992,-19.254305,0.21327776,0.49647217
4285.7,488.57,162.86,428.57,1.0,0.0,5624.2,1.1764431,120.11979999999988,-21.822853,0.21387015,0.49837967
4285.7,488.57,162.86,428.57,3.0,-10714.0,2142.9,16.487609,,-1.054921,0.0047689606,0.10637723
4285.7,488.57,162.86,428.57,3.0,-10714.0,5000.0,1.3630858000000001,120.32979999999993,-16.269404,0.21046253,0.49184594
4285.7,488.57,162.86,428.57,3.0,-10714.0,5624.2,1.2907457,120.53989999999936,-17.929272,0.21159876,0.49494101
4285.7,488.57,162.86,428.57,5.0,-21429.0,2142.9,16.472483999999998,,-1.055892,0.0050553444,0.10641261
4285.7,488.57,162.86,428.57,5.0,-21429.0,5000.0,1.3622717,120.32979999999993,-16.285909,0.21045194,0.49195418
4285.7,162.86,162.86,428.57,3.0,-10714.0,5624.2,1.3001127000000001,120.7499000000003,-17.689294,0.21117097,0.49457881
4285.7,488.57,162.86,428.57,5.0,-21429.0,5624.2,1.289752,120.75019999999981,-17.955241,0.21156968,0.49503594
4285.7,488.57,271.43,428.57,1.0,0.0,2142.9,10.180095,,-1.7119665000000002,0.033341653,0.15917863
4285.7,488.57,271.43,428.57,1.0,0.0,5000.0,1.2396183,119.49000000000032,-19.413079,0.21684653,0.49659486
4285.7,488.57,271.43,428.57,1.0,0.0,5624.2,1.1714653,119.90979999999985,-22.051533,0.21736216,0.49843803
4285.7,488.57,271.43,428.57,1.0,0.0,2142.9,10.180086,,-1.7119681,0.033341655,0.1591787
4285.7,488.57,271.43,428.57,1.0,0.0,5000.0,1.2396184,119.49000000000032,-19.413078,0.21684653,0.49659486
4285.7,488.57,271.43,428.57,1.0,0.0,5624.2,1.1714653999999998,119.90979999999985,-22.05153,0.21736216,0.49843803
4285.7,488.57,271.43,428.57,1.0,0.0,2142.9,10.180099,,-1.7119659,0.033341662,0.15917859
4285.7,488.57,271.43,428.57,1.0,0.0,5000.0,1.2396184,119.49000000000032,-19.413076999999998,0.21684653,0.49659486
4285.7,488.57,271.43,428.57,1.0,0.0,5624.2,1.1714653,119.90979999999985,-22.051532,0.21736216,0.49843803
4285.7,162.86,162.86,428.57,5.0,-21429.0,2142.9,1.8554726000000001,44.10010000000008,-10.469438,0.10789697,0.45699799999999996
4285.7,488.57,271.43,428.57,1.0,0.0,2142.9,10.180091000000001,,-1.7119673,0.033341656000000004,0.15917867
4285.7,488.57,271.43,428.57,1.0,0.0,5000.0,1.2396183,119.49000000000032,-19.413079,0.21684655,0.49659486
